homogeneous     同类的，同质的
heterogeneous   异质性，异类的
downstream      顺流的，在下游的
transductive    转换
poisoning       投毒，中毒
topology        拓扑
macro           巨大的，极厚的
eigen           特征的，自身的
anomalous       异常的，反常的
partition       划分，分割
redundant       多余的，冗余的
cryptocurrency  秘密流
capitalization  资本化，投资
practitioner    实践者，从业者
perceptions     感知，看法，感受
consensus       一致，共识
minimise        降低至最低限度
Ethereum        以太坊
compensate      补偿，抵消，抵偿
participant     参与者
tamper          干扰，贿赂，篡改
eavesdrop       窃听
appropriate     恰当的，拨款，非法占有
saturation      饱和，饱和度
deviation       偏离，偏差
exploratory     探索的，探测的
textual         本文的，文章的
contingency     偶然性，意外事故
proportion      比例，部分，份额，均衡，分摊
demographic     人口统计学的
loophole        空子，漏洞
ecosystem       生态系统
solidity        固体，坚固性，可靠性
mitigate        减轻，缓解
chaotic         混乱的，杂乱的
testrpc         #？？
concolic        #？？
seamlessly      无缝地，无缝的
alleviate       缓和，减轻
derivative      导数，派生的，衍生物
deontic         道义，义务
formalism       形式主义
atomic          原子性，与原子有关的
pseudocode      伪代码
automation      自动化
imperceptible   感觉不到的
susceptible     敏感的，易受影响的
hoax            骗局，戏弄，恶作剧
purification    净化，提纯
anomaly         不规则，异常现象
tractable       易处理的，温顺的
margin          边缘，余地，加备注，保证金
