fruitless           没有成果的；无成效的；徒然的
get stuck in        被困在
derivative          导数；派生的；
outperform          超过；胜过
approximation       近似值；粗略估算；
de facto            事实上；
tremendous          巨大的；极大的；
erratically         不规律地；不定地；
aerodynamic         空气动力学的
convexity           凸度
landmark            里程碑;地标
outweight           增持，战胜
condense            压缩，凝结
multicollinearity   多重共线性；多元共线性；多重假设检验
mitigate            减轻；缓解；平息
sanity              理智；明智；精神健全；
indicator           指示器；标志；指针；
improper            不诚实的；不正当的；不道德的；不合适的
unify               统一；使成一体；使一元化
deficiency          缺乏；不足；缺陷；
increment           增量；定期的加薪；增加
explicit            清楚明白的；易于理解的；
implicit            含蓄的；不直接言明的；
boot up             启动
mnemonic            记忆的；记忆术的；助记符号
interchangeably     互换，互换地
barrel              桶；枪管；
shifter             变速箱，移位器，移相器
elaborate           精心制作；详尽阐述；复杂的
coprocessor         协同处理器
bracket             支架；方括号；等级；用括弧括上；把…等同考虑
affix               附上；粘上；词缀
affixing            签署；盖(章)；词缀
spectacular         壮观的；壮丽的
notorious           声名狼藉的
