
acquisition	取得，购得
actionable	可起诉的，可执行的
adequate	足够，合格
advent		出现，来临
aforemention	上述
aggregate	合计，总计的
apprehensive	担心的，忧虑的
artifact	人工制品
ascertain	确定
assailant	攻击者，行凶者，攻击的
asset		有价值的人/事物，财富
asynchronous	异步的
authority	权威
benchmark	基准
benevolent	仁慈的，慈善的
bias		偏差
bilayer		双层
breach		违反
budget		预算，价格低的，谨慎花钱
certificate	证书
circumvent	回避
commit		承诺，提交，自杀，犯罪，犯错，忠于
concise		简明的
configuration	配置，构造，形状
credentials	资格认证
criteria	标准，尺度
crude		粗略的，大概的，原油
declare		公告
deduce		推导，推论，演绎，溯源
deem		认为，相信
denominator	分母，共同特性
deploy		部署，利用
deter		阻止
diagnose	诊断
digest		概要，消化，理解
discretize	使离散，离散化
discriminative	有区别的，歧视的
divulge		泄漏
dormant		潜伏的
eavesdroppers	窃听者
elicit		引出，诱出
empirical	凭经验的
empower		授权
endemic		地方病
endorse 	赞同
endow		资助，赋予
entry		记录，登录，入口
erroneous	错误的
escalate	不断升级
escalation	扩大
esteem		尊重，认为
exacerbate	加重，加剧
exceptional	杰出的，例外的，特殊的
explicitly	明确地
explicitly	明确地，清楚地，直接地
exponentially	呈指数地
fetch		拿来，获取，相同物
folder		文件夹
forensic	法医的
formerly	从前地
futile		徒然的，无效的
generic		一般的，普通的，通用的
granularity	粒度
heuristic	启发式的
heuristics	启发式
hyperplane	超平面
illicit		违法的
implicit	暗示的
in light of	按照，根据，鉴于
incentive	激励，刺激
incorporate	包括，结合
incremental	增加的
incur		招致，引起
indicative	表明，暗示【adj】
indice		质量指标
ingrain		本质，根深蒂固的，染制的，染色
intensive	密集的，彻底的，十分细致的，加强的，加强器
intention	意图，目的
intervention	介入，干涉
intimidate	威胁，恐吓
intimidation	恐吓
intrusion	入侵
intuitively	直觉地
invoke		调用
isolate		孤立，使分离
leakage		泄漏
leverage	施加影响，杠杆
marginally	少量地meta		元【EX：元数据】
metamorphism	变态，变质
mischievous	顽皮的，恶意的
misuse		滥用，虐待
mitigate	缓解
mitigation	缓解
modular		分单元的，模块化的
mutation	突变
mutation	突变，改变
myriad		无数的，大量
negligible	可忽略不计的
negligible	微不足道的
noxious		有害的
obscure		朦胧，无名的，费解的
opcode		操作码，指令码
orthogonal	正交的，不相关的
overhaul	检修，改造
package		包，软件包，打包
packet		数据包，小包裹，做成包裹
parse		解析
partition	分隔
pernicious	有害的，恶性的
pervasiveness	遍布	
pitfall		陷阱
plethora	过多的
pointless	无意义的
polymorphism	多态性
practitioner	从业人员
premium-rate	保险费
privilege	特权
procedure	步骤，手续，手术
proficient	专家，老手，熟练的
progressive	进步的，先进的
prone		有倾向的
propagate	传播，繁衍
prototype	雏形
pseudo		假的
quartile	四分位数
recurrence	再次发生
repository	仓库，资源库
resemblance	相似性
resilient	有弹性的，有适应力的，可恢复的
separate	分离，单独的，单行本
side-step	规避
sift		筛，筛选
slack		松弛的（地），萧条的，懒散的，无力地，松弛部分，煤末，怠惰
snippet		片段
sound		adj明智的
spatial		空间的
spatio-temporal	时空的
specimen	样品，标本
standout	杰出的，杰出的人/物
steady		稳固，稳定的，持续地
stirring	忙碌的，活跃的
subsample	抽样
subvert		破坏，颠覆，使背叛
suffice		足够，足以
superscript	标在上角的，上标
taint		污染，腐坏
tamper		篡改，干预，干扰，夯实者
tandem		串联
tantalizingly	令人着急地，诱人地
taxonomy	分类学，分类法
temporal	时间的
temporally	时间地
terminology	术语
thwart		横放的
timestamp	时间戳
trapezoidal	梯形
triad		三位一体（总之就是三个在一起的）
trivial		不重要的
trivially	十分地，琐碎地
trustee		受托人
tune		调整，调音，调谐
ubiquious	无处不在的
ubiquitous	无处不在的，十分普遍的
undermine	逐渐削弱，从根基暗中破坏
underpin	支援
undesirable	不想要的
vendor		小贩，卖主
veracity	真实性，诚实
verdict		判决，结论
versatile	多才多艺的，多用途的，通用的
vertex		顶点
vindictive	报复性的
complement	补充
potency		效力，影响力，支配力
in terms of	从...方面
complementary	补充的
cater		迎合，满足，承办酒席
heterogeneous	各种各样的
pre-requisite	先决条件
modulo		取模
overhead	天花板，上方的，开销，开销的
correlate	互相关联
coefficient	系数，共同作用的
predecessor	原有的事物
opaque		不透明的
obscurity	晦涩，含糊
model-oriented	面向模型的
lexical		词汇的
residual	残余的
pointer		指针，建议
preventive	预防性的，防备的
frontend	开头的，前端
elementary	初级的，基本的，简单的
conjecture	猜想
implicit	隐式的，含蓄的
divider		分隔物




