acquisition        取得，购得                                    
acronym            缩写词                                        
adequate           足够，合格                                    
affix              附上；粘上；词缀                               
affixing           签署；盖(章)；词缀                           
agnostic           不可知论的，不可知论者                          
alleviate          减轻；缓解；缓和                               
apprehensive       担心的，忧虑的                                 
assailant          攻击者，行凶者，攻击的                          
assertion          断言；主张；认定；声名                          
assessment         评估，判定                                    
asynchronous       异步的                                        
augment            增加，扩大，填充                               
auxiliary          辅助的，辅助人员                               
barrel             桶；枪管；                                    
bogus              伪造物                                        
boot up            启动                                          
bound              跳跃，形成边界，限制，约束，很可能会             
bound to           一定会，必然                                   
bracket            支架；方括号；等级；用括弧括上；把…等同考虑      
breach             违反                                          
brevity            简洁；短暂；                                   
circumvent         回避                                          
coagulate          凝结，使凝固，凝块                             
coherent           合乎逻辑的；有条理的；连贯的                    
cohort             同伙；支持者；队列                             
compensate         补偿，抵消，抵偿                               
complement         补充                                          
complementary      互补的，补充的                                 
compromise         妥协，折中                                    
conceivable        可能的，可信的，可想到的                        
condense           压缩，凝结                                    
conjecture         猜想                                          
consensus          一致，共识                                    
conservation       保护，守恒                                    
conservative       保守的，保守的人                               
contingency        偶然性，意外事故                               
contrastive        对比的，对比性的                               
convention         习惯，常规，大会                               
convex             凸面,凹凸的                                   
convexity          凸度                                          
coprocessor        协同处理器                                    
credentials        资格认证                                      
criteria           标准，尺度                                    
cryptographic      密码；密码的                                   
custom             自定义；海关；风俗习惯；定做的                  
cyberspace         网络空间                                      
declarative        声明式的，陈述性的                             
deduce             推导，推论，演绎，溯源                          
deem               认为；当成；相信                               
deficiency         缺乏；不足；缺陷；                             
delineate          描绘                                          
deliver            交付；发表；兑现；传送                          
demographic        人口统计学的                                   
denominator        分母，共同特性                                 
deontic            道义，义务                                    
derivable          可推论出的，可引申出的                          
derivative         导数，派生的，衍生物                           
deter              阻止                                          
deviant            不正常的，偏离轨道的                           
deviate            背离，脱离常轨的人                             
deviation          偏离，偏差                                    
diagnose           诊断                                          
disastrous         极糟糕的；灾难性的                             
discriminative     有区别的，歧视的                               
disjunctive        分离的，反意的                                 
disparity          差异                                          
dissect            剖析                                          
divulge            泄漏                                          
dormant            潜伏的                                        
drown              溺死                                          
eigen              特征的，自身的                                 
elaborate          精心制作；详尽阐述；复杂的                      
elicit             引出，诱出                                    
encapsulate        压缩；简述；概括                               
endeavor           努力                                          
endemic            地方病                                        
endorse            赞同                                          
endow              资助，赋予                                    
entailment         导出                                          
envision           想象；展望                                    
epilogue           尾声                                          
erratically        不规律地；不定地；                             
esteem             尊重，认为                                    
exacerbate         加重，加剧                                    
exceptional        杰出的，例外的，特殊的                          
excerpt            摘录，节选，片段，引用                          
explicit           清楚明白的；易于理解的；                        
explicitly         明确地，清楚地，直接地                          
exploratory        探索的，探测的                                 
extensible         可延长的，可扩展的                             
facto              事实上                                        
fallacy            错误，谬误                                    
fetch              拿来，获取，相同物                             
firmware           固件                                          
flip               浏览；空翻；迅速翻动；摁开关                    
forecast           预报，预测                                    
formalism          形式主义                                      
formulate          制定，准备，规划                               
fruitless          没有成果的；无成效的；徒然的                    
futile             徒然的，无效的                                 
gadget             小装置                                        
get stuck in       被困在                                        
gist               主旨                                          
hinge              铰链，合叶                                    
hoax               骗局，戏弄，恶作剧                             
imperceptible      感觉不到的                                    
impetus            动力，促进                                    
implication        含义，可能，暗示，                             
implicit           隐式的，含蓄的，暗示的，不直接言明的             
improper           不诚实的；不正当的；不道德的；不合适的           
in light of        按照，根据，鉴于                               
in terms of        从...方面                                   
incentive          激励，刺激                                    
incorporate        包括，结合                                    
increment          增量；定期的加薪；增加                          
indicative         表明，暗示【adj】                           
indicator          指示器；标志；指针；                           
indice             质量指标                                      
indispensable      不可或缺的                                    
instantiate        用具体例证说明                                 
intake             进气，摄入                                    
intensive          密集的，彻底的，十分细致的，加强的，加强器        
intention          意图，目的                                    
intercept          拦截，截距                                    
interchangeably    互换，互换地                                   
interpretation     解释，说明，演绎                               
intersection       交叉；相交；十字路口；                          
intervention       介入，干涉                                    
intimidate         威胁，恐吓                                    
intimidation       恐吓                                          
intricate          复杂的                                        
intrigue           密谋                                          
intrusion          入侵                                          
intuition          直觉                                          
intuitively        直觉地                                        
inverse            反向的,相反的事物                             
investigate        调查，研究                                    
jot                匆匆记下，一点                                 
landmark           里程碑;地标                                   
latent             潜在的                                        
legacy             遗产,已停产的                                 
legitimate         合法的，正当的，使合法                          
lexical            词汇的                                        
loophole           空子，漏洞                                    
mandate            授权，要求，强制执行                           
margin             边缘，余地，加备注，保证金                      
marginally         少量地                                        
metamorphism       变态，变质                                    
migration          迁移                                          
mimicry            模仿；模仿技巧                                 
minimise           降低至最低限度                                 
miscellaneous      混合的                                        
mischievous        顽皮的，恶意的                                 
misuse             滥用，虐待                                    
mitigate           减轻；缓解；平息；镇静                          
mitigation         缓解                                          
mnemonic           记忆的；记忆术的；助记符号                      
modular            分单元的，模块化的                             
modulo             取模                                          
monotonic          单调性；单调的                                 
morpher            变形器                                        
multicollinearity  多重共线性；多元共线性；多重假设检验             
multilingual       多种语言的                                    
multitude          众多，人群，大众                               
mundane            单调的；平凡的；世俗的                          
mutate             突变；转变；                                   
mutually           相互地                                        
myriad             无数的，大量                                   
negate             否定，抹杀                                    
negligeable        无关紧要的                                    
negligible         微不足道的，不重要的，不值一提的                 
neuron             神经元                                        
nonnegligible      不可忽视的                                    
nontrivial         不平凡的，无效的                               
notorious          声名狼藉的                                    
noxious            有害的                                        
obscure            朦胧，无名的，费解的                           
obscurity          晦涩，含糊                                    
opaque             不透明的，浑浊的                               
opcode             操作码，指令码                                 
operand            操作数                                        
oracle             预言；先知；                                   
orthogonal         正交的，不相关的                               
outperform         超过；胜过                                    
outweight          增持，战胜                                    
overhaul           检修，改造                                    
paradigm           范例，范式，模范，〈正式〉模型                  
paramount          至高无上的，元首                               
participant        参与者                                        
partition          划分；隔墙；部分；分割                          
patch              补丁，修补                                    
pave               铺设                                          
perceptions        感知，看法，感受                               
peripheral         外部设备，周围的                               
pernicious         有害的，恶性的                                 
pervasiveness      遍布                                          
pessimistic        悲观主义的                                    
piecewise          分段地                                        
pinpoint           针尖；确定；精准定位                           
pitfall            困难；隐患；陷阱                               
plethora           过多的                                        
plow               犁，耕种                                      
plurality          众多；大量；多元的                             
polymorphism       多态性                                        
polytope           多胞形；多面体；                               
potency            效力，影响力，支配力                           
practitioner       实践者，从业者                                 
predecessor        原有的事物                                    
presumably         大概；很可能；                                 
preventive         预防性的，防备的                               
primitive          原始的，原始人，原始事物                        
primitive          原始的；远古的；原始人；原始作品，原始事物       
privilege          特权                                          
procedure          步骤，手续，手术                               
proficient         专家，老手，熟练的                             
prologue           序幕，成为...开端                           
proportion         比例，部分，份额，均衡，分摊                    
