acquisition        取得，购得                                    
acronym            缩写词                                       
adequate           足够，合格                                    
affix              附上；粘上；词缀                               
affixing           签署；盖(章)；词缀                             
alleviate          减轻；缓解；缓和                               
assailant          攻击者，行凶者，攻击的                          
assertion          断言；主张；认定；声名                          
bogus              伪造物                                       
brevity            简洁；短暂；                                   
circumvent         回避                                          
coagulate          凝结，使凝固，凝块                             
coherent           合乎逻辑的；有条理的；连贯的                    
cohort             同伙；支持者；队列                             
compensate         补偿，抵消，抵偿                               
complementary      互补的，补充的                                 
compromise         妥协，折中                                    
conceivable        可能的，可信的，可想到的                        
consensus          一致，共识                                    
conservative       保守的，保守的人                               
contingency        偶然性，意外事故                               
contrastive        对比的，对比性的                               
convention         习惯，常规，大会                               
credentials        资格认证                                      
criteria           标准，尺度                                    
declarative        声明式的，陈述性的                             
deduce             推导，推论，演绎，溯源                          
deem               认为；当成；相信                               
deficiency         缺乏；不足；缺陷；                             
deliver            交付；发表；兑现；传送                          
denominator        分母，共同特性                                 
deontic            道义，义务                                    
derivable          可推论出的，可引申出的                          
derivative         导数，派生的，衍生物                           
deviant            不正常的，偏离轨道的                           
deviate            背离，脱离常轨的人                             
deviation          偏离，偏差                                    
disastrous         极糟糕的；灾难性的                             
discriminative     有区别的，歧视的                               
disjunctive        分离的，反意的                                 
disparity          差异                                          
dissect            剖析                                          
divulge            泄漏                                          
dormant            潜伏的                                        
eigen              特征的，自身的                                 
elaborate          精心制作；详尽阐述；复杂的                      
elicit             引出，诱出                                    
encapsulate        压缩；简述；概括                               
endeavor           努力                                          
endorse            赞同                                          
endow              资助，赋予                                    
entailment         导出                                          
envision           想象；展望                                    
epilogue           尾声                                          
erratically        不规律地；不定地；                             
esteem             尊重，认为                                    
exacerbate         加重，加剧                                    
exceptional        杰出的，例外的，特殊的                          
excerpt            摘录，节选，片段，引用                          
explicit           清楚明白的；易于理解的；                        
exploratory        探索的，探测的                                 
extensible         可延长的，可扩展的                             
fallacy            错误，谬误                                    
fetch              拿来，获取，相同物                             
flip               浏览；空翻；迅速翻动；摁开关                    
formalism          形式主义                                      
formulate          制定，准备，规划                               
futile             徒然的，无效的                                 
gadget             小装置                                        
hinge              铰链，合叶                                    
hoax               骗局，戏弄，恶作剧                             
imperceptible      感觉不到的                                    
impetus            动力，促进                                    
implication        含义，可能，暗示，                             
implicit           隐式的，含蓄的，暗示的，不直接言明的             
in light of        按照，根据，鉴于                               
incentive          激励，刺激                                    
incorporate        包括，结合                                    
indicative         表明，暗示【adj】                           
indicator          指示器；标志；指针；                           
indice             质量指标                                      
indispensable      不可或缺的                                    
instantiate        用具体例证说明                                 
intensive          密集的，彻底的，十分细致的，加强的，加强器        
intention          意图，目的                                    
intercept          拦截，截距                                    
interchangeably    互换，互换地                                   
interpretation     解释，说明，演绎                               
intersection       交叉；相交；十字路口；                          
intervention       介入，干涉                                    
intimidation       恐吓                                          
intricate          复杂的                                        
intrigue           密谋                                          
intrusion          入侵                                          
jot                匆匆记下，一点                                 
legacy             遗产,已停产的                                 
legitimate         合法的，正当的，使合法                          
lexical            词汇的                                        
loophole           空子，漏洞                                    
mandate            授权，要求，强制执行                           
margin             边缘，余地，加备注，保证金                      
marginally         少量地                                        
metamorphism       变态，变质                                    
migration          迁移                                          
miscellaneous      混合的                                        
mischievous        顽皮的，恶意的                                 
misuse             滥用，虐待                                    
mitigate           减轻；缓解；平息；镇静                          
mitigation         缓解                                          
mnemonic           记忆的；记忆术的；助记符号                      
modular            分单元的，模块化的                             
modulo             取模                                          
monotonic          单调性；单调的                                 
morpher            变形器                                        
multitude          众多，人群，大众                               
mundane            单调的；平凡的；世俗的                          
mutate             突变；转变；                                   
mutually           相互地                                        
myriad             无数的，大量                                   
negate             否定，抹杀                                    
negligeable        无关紧要的                                    
negligible         微不足道的，不重要的，不值一提的                 
nonnegligible      不可忽视的                                    
notorious          声名狼藉的                                    
noxious            有害的                                        
opaque             不透明的，浑浊的                               
orthogonal         正交的，不相关的                               
overhaul           检修，改造                                    
paradigm           范例，范式，模范，〈正式〉模型                  
participant        参与者                                        
partition          划分；隔墙；部分；分割                          
pave               铺设                                          
perceptions        感知，看法，感受                               
peripheral         外部设备，周围的                               
pernicious         有害的，恶性的                                 
pervasiveness      遍布                                          
piecewise          分段地                                        
pitfall            困难；隐患；陷阱                               
plethora           过多的                                        
plurality          众多；大量；多元的                             
polymorphism       多态性                                        
polytope           多胞形；多面体；                               
potency            效力，影响力，支配力                           
practitioner       实践者，从业者                                 
predecessor        原有的事物                                    
preventive         预防性的，防备的                              
privilege          特权                                          
procedure          步骤，手续，手术                               
proficient         专家，老手，熟练的                             
prologue           序幕，成为...开端                           
protocol           条约草案；礼仪；外交礼节；协定；加入协定         
prototype          原型，最初态                                   
quadratic          平方的，二次项                                 
quartile           四分位数                                      
reason about       推断                                          
reduction          还原；降低；减少                               
redundant          多余的，冗余的                                 
referee            裁判员，裁定，担任裁判                          
relieve            缓和，解救                                    
render             提供；给予                                    
repertoire         全部技能                                      
resemblance        相似性                                        
residual           残余的                                        
resilient          有弹性的，有适应力的，可恢复的                  
retrieve           找回，取回，恢复                               
retrofit           改进，翻新                                    
revamp             翻修，改造                                    
saliency           显著性；特色；凸出                             
sanitize           净化，消毒                                    
sanity             理智；明智；精神健全；                          
saturation         饱和，饱和度                                   
semicolon          分号                                          
shed               摆脱，去除，脱落，工棚                          
shifter            变速箱，移位器，移相器                          
side-step          规避                                          
sift               筛，筛选                                      
sloppy             马虎的，凌乱的                                 
spurious           虚假的，谬误的，伪造的                          
stance             立场，站姿，姿态                               
stirring           忙碌的，活跃的                                 
strip              带子，夺走，被拿走外皮的                        
subtler            精巧的；微妙的；狡猾的；不易察觉的               
subvert            破坏，颠覆，使背叛                             
succinct           简明的；言简意赅的                             
summation          总结；概括；综合体                             
susceptible        敏感的，易受影响的                             
tactic             策略，战术                                    
tamper             篡改，干预，干扰，夯实者                        
tandem             串联                                          
tantalizingly      令人着急地，诱人地                             
taxonomy           分类学，分类法                                 
tedious            冗长的；啰嗦的                                 
template           模板；样板；                                   
tentatively        初步地，尝试性地                               
terminology        术语                                          
thwart             横放的                                        
transductive       转换                                          
trapezoidal        梯形                                          
traversal          遍历，障碍物                                   
traverse           产国，横渡，横断的，遍历，导线，横切，可横越之处  
usher              引座员；引导                                   
veracity           真实性，诚实                                   
verbose            冗长的；啰嗦的；                               
verdict            判决，结论                                    
versatile          多才多艺的，多用途的，通用的                    
vindictive         报复性的                                      
directive               指示，指令，指导，伪指令
dedicate                致力于，献身，把...奉献给
intact                  完整的；完好无损的
luxury                  奢华的，奢侈品
conform                 顺从，使一致，遵从
at will                 任意地，随意地
gloss                   光亮，光泽，注释
innards                 内脏，内部结构
stub                    存根，树桩
